# Mouse zoom hint generated by Tutorial skill
# events_json: C:\git\customers\yo\waiba\projects\Yo\odoo\odooMigrationUserTrainingTutorial\playbooks\tutorial\zoom\mouse_zoom.keyframes.json
# Use events to build crop/zoom keyframes in your compositor or ffmpeg filter_complex.
# Format: start_ms,end_ms,x_norm,y_norm,zoom
0,8000,0.5,0.45000000000000001,1.22
8000,17000,0.62,0.52000000000000002,1.26
17000,26000,0.40000000000000002,0.57999999999999996,1.3
26000,35000,0.55000000000000004,0.34999999999999998,1.22
35000,44000,0.34999999999999998,0.55000000000000004,1.26
44000,54000,0.57999999999999996,0.46999999999999997,1.3
54000,64000,0.5,0.45000000000000001,1.22
64000,73000,0.62,0.52000000000000002,1.26
73000,82000,0.40000000000000002,0.57999999999999996,1.3
82000,92000,0.55000000000000004,0.34999999999999998,1.22
92000,103000,0.34999999999999998,0.55000000000000004,1.26
103000,112000,0.57999999999999996,0.46999999999999997,1.3
112000,123000,0.5,0.45000000000000001,1.22
123000,133000,0.62,0.52000000000000002,1.26
133000,143000,0.40000000000000002,0.57999999999999996,1.3
143000,153000,0.55000000000000004,0.34999999999999998,1.22
153000,162000,0.34999999999999998,0.55000000000000004,1.26
162000,171000,0.57999999999999996,0.46999999999999997,1.3
171000,180000,0.5,0.45000000000000001,1.22
180000,189000,0.62,0.52000000000000002,1.26
189000,200000,0.40000000000000002,0.57999999999999996,1.3
200000,211000,0.55000000000000004,0.34999999999999998,1.22
211000,221000,0.34999999999999998,0.55000000000000004,1.26
221000,232000,0.57999999999999996,0.46999999999999997,1.3
232000,243000,0.5,0.45000000000000001,1.22
243000,252000,0.62,0.52000000000000002,1.26
252000,262000,0.40000000000000002,0.57999999999999996,1.3
262000,271000,0.55000000000000004,0.34999999999999998,1.22
271000,279000,0.34999999999999998,0.55000000000000004,1.26
